model,num_conv_layers,num_linear_layers,polynomial_k_order,pooling_method,num_epochs,batch_size,hidden_channels,lr,weight_decay,test_loss,test_accuracy,mean_train_accuracy,var_train_accuracy,max_train_accuracy,max_train_accuracy_epoch,min_train_accuracy,min_train_accuracy_epoch,mean_val_accuracy,var_val_accuracy,max_val_accuracy,max_val_accuracy_epoch,min_val_accuracy,min_val_accuracy_epoch,train_mean_loss,val_mean_loss,train_acc_array,val_acc_array,train_loss_array,val_loss_array
ChebNet,3,1,2,add,125,32,24,0.003,0.005,0,0,0.7839360000000002,0.002070011904,0.816,33,0.552,124,0.7869473684210524,0.001766470914127424,0.8947368421052632,107,0.5263157894736842,124,0.4338094816207886,0.3672499282360077,"[0.552, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.712, 0.712, 0.712, 0.712, 0.704, 0.712, 0.76, 0.768, 0.76, 0.76, 0.76, 0.808, 0.76, 0.752, 0.76, 0.768, 0.816, 0.768, 0.768, 0.768, 0.808, 0.776, 0.752, 0.816, 0.816, 0.816, 0.816, 0.808, 0.816, 0.808, 0.808, 0.816, 0.816, 0.816, 0.816, 0.816, 0.816, 0.808, 0.8, 0.816, 0.808, 0.792, 0.792, 0.816, 0.816, 0.816, 0.816, 0.816, 0.792, 0.816, 0.816, 0.816, 0.808, 0.792, 0.816, 0.816, 0.8, 0.8, 0.816, 0.808, 0.8, 0.784, 0.816, 0.816, 0.8, 0.808, 0.808, 0.808, 0.816, 0.816, 0.816, 0.8, 0.8, 0.816, 0.816, 0.808, 0.816, 0.816, 0.816, 0.792, 0.816, 0.8, 0.8, 0.816, 0.8, 0.816, 0.808, 0.808, 0.808, 0.816, 0.816, 0.808, 0.816, 0.808, 0.808, 0.816, 0.8, 0.784, 0.816, 0.816, 0.816, 0.8, 0.816, 0.816, 0.792, 0.8, 0.816, 0.808]","[0.5263157894736842, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7368421052631579, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7368421052631579, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.8421052631578947, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.8421052631578947, 0.8947368421052632, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.7894736842105263, 0.8421052631578947]","[0.6834584921598434, 0.546361118555069, 0.5761317685246468, 0.5302698612213135, 0.5184135288000107, 0.5351978987455368, 0.5365255624055862, 0.5170140862464905, 0.5051801279187202, 0.504364587366581, 0.5006174594163895, 0.5018158778548241, 0.5077417939901352, 0.49920009821653366, 0.4914967343211174, 0.4917644038796425, 0.4884398281574249, 0.4852990284562111, 0.48099561780691147, 0.4782032296061516, 0.47951503098011017, 0.47872184216976166, 0.47380492836236954, 0.48021335899829865, 0.46498750895261765, 0.46049416065216064, 0.4538235664367676, 0.44726650416851044, 0.45474154502153397, 0.44459760189056396, 0.45756109058856964, 0.4527776911854744, 0.4591894969344139, 0.46583106368780136, 0.44708670675754547, 0.44972866028547287, 0.4422436058521271, 0.4656861796975136, 0.4384535029530525, 0.44796645641326904, 0.4307015687227249, 0.43111249059438705, 0.42990442365407944, 0.42589227110147476, 0.42835378646850586, 0.42852962762117386, 0.4273942857980728, 0.42238277941942215, 0.4197155013680458, 0.41802646964788437, 0.42098767310380936, 0.4219404309988022, 0.42099011689424515, 0.4181934893131256, 0.4215933680534363, 0.42915715277194977, 0.42002197355031967, 0.42276547104120255, 0.4170583188533783, 0.4213554784655571, 0.4140513986349106, 0.4154736027121544, 0.41546085476875305, 0.4174523502588272, 0.4078625924885273, 0.4115949049592018, 0.41130051016807556, 0.40571407228708267, 0.4109135791659355, 0.40882299095392227, 0.41419384628534317, 0.4073149412870407, 0.41569089889526367, 0.4163045734167099, 0.41429004818201065, 0.40734347701072693, 0.4251916781067848, 0.3999420925974846, 0.40679147839546204, 0.39955172687768936, 0.40637005865573883, 0.4021451845765114, 0.39988745748996735, 0.41427213698625565, 0.4055190458893776, 0.4023386761546135, 0.4007493406534195, 0.4029427692294121, 0.40048786252737045, 0.41071851551532745, 0.4030653238296509, 0.4087211936712265, 0.4165601208806038, 0.40332766622304916, 0.4020010232925415, 0.4014727436006069, 0.40399520844221115, 0.39699842780828476, 0.3964194804430008, 0.393917977809906, 0.3995997980237007, 0.39507706463336945, 0.3953413963317871, 0.3947914391756058, 0.39660099893808365, 0.3917265310883522, 0.3966467082500458, 0.409547857940197, 0.39115776121616364, 0.414580799639225, 0.3934558629989624, 0.3880583979189396, 0.39555344730615616, 0.38878200948238373, 0.3968762904405594, 0.390980027616024, 0.4012602008879185, 0.39130081981420517, 0.3978118225932121, 0.40500861406326294, 0.40257714688777924, 0.39601846039295197, 0.39596637338399887, 0.3901633694767952, 0.39087188988924026]","[0.6810387969017029, 0.33974218368530273, 0.5448906123638153, 0.4678020626306534, 0.5809045732021332, 0.573237732052803, 0.5151817351579666, 0.4910886734724045, 0.35832811146974564, 0.4469388723373413, 0.47400839626789093, 0.46133527159690857, 0.393222838640213, 0.5235583186149597, 0.35174134373664856, 0.4210169315338135, 0.3208027780056, 0.3418520987033844, 0.4171491265296936, 0.4273593872785568, 0.4138162136077881, 0.4385746270418167, 0.3387961983680725, 0.3510819599032402, 0.47320932149887085, 0.3792988061904907, 0.2904997542500496, 0.2742623835802078, 0.4498690664768219, 0.5015448778867722, 0.5397538244724274, 0.3872648775577545, 0.40832439064979553, 0.37683267891407013, 0.3045552000403404, 0.2726175859570503, 0.36630861461162567, 0.4417339116334915, 0.29679273068904877, 0.2658725529909134, 0.4284753203392029, 0.5085856318473816, 0.3681124895811081, 0.3164919540286064, 0.4364715814590454, 0.3847873955965042, 0.33851777017116547, 0.38952457904815674, 0.28472382575273514, 0.2696627825498581, 0.5428476929664612, 0.31164801865816116, 0.3122309222817421, 0.34858760237693787, 0.271920882165432, 0.5427428781986237, 0.2920294627547264, 0.3936890959739685, 0.276419922709465, 0.3026502951979637, 0.4999959468841553, 0.37063072621822357, 0.5714889168739319, 0.2415984459221363, 0.2767566069960594, 0.32427559792995453, 0.3541734218597412, 0.46029292047023773, 0.31511223316192627, 0.36655791103839874, 0.2896222695708275, 0.378592774271965, 0.3141779154539108, 0.3134685531258583, 0.5153184235095978, 0.26265349239110947, 0.3353741019964218, 0.36776211857795715, 0.34476272761821747, 0.2292734943330288, 0.45539677143096924, 0.38215498626232147, 0.4173036813735962, 0.36777669191360474, 0.39265260100364685, 0.28519491851329803, 0.3703420013189316, 0.29625989496707916, 0.3376278430223465, 0.2864641472697258, 0.23810739815235138, 0.30699001252651215, 0.3059530183672905, 0.3238033056259155, 0.30091550946235657, 0.27383649349212646, 0.284314326941967, 0.3658478707075119, 0.288276731967926, 0.33620837330818176, 0.22813544794917107, 0.5185189694166183, 0.28716883808374405, 0.36555442214012146, 0.2844747379422188, 0.3064992427825928, 0.44194096326828003, 0.298904612660408, 0.2822391986846924, 0.2828455939888954, 0.25652046501636505, 0.31945735216140747, 0.4170902520418167, 0.26889145374298096, 0.35925523936748505, 0.21952366456389427, 0.25892556458711624, 0.3624056577682495, 0.4788473844528198, 0.3478078544139862, 0.28412704169750214, 0.3229440301656723, 0.344355970621109, 0.3621140867471695, 0.23804828524589539]"
ChebNet,3,1,2,max,125,32,24,0.003,0.005,0,0,0.7935359999999998,0.0037014487039999993,0.856,120,0.296,124,0.744421052631579,0.002690481994459835,0.8947368421052632,20,0.2631578947368421,124,0.460858732521534,0.4323595123887062,"[0.296, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.72, 0.744, 0.768, 0.76, 0.768, 0.768, 0.784, 0.76, 0.776, 0.8, 0.76, 0.784, 0.808, 0.808, 0.784, 0.8, 0.8, 0.8, 0.808, 0.768, 0.808, 0.8, 0.808, 0.808, 0.808, 0.8, 0.808, 0.816, 0.816, 0.8, 0.8, 0.8, 0.808, 0.8, 0.816, 0.816, 0.816, 0.808, 0.808, 0.808, 0.824, 0.8, 0.808, 0.808, 0.808, 0.808, 0.816, 0.816, 0.808, 0.808, 0.808, 0.808, 0.8, 0.808, 0.808, 0.792, 0.832, 0.832, 0.816, 0.808, 0.8, 0.832, 0.832, 0.808, 0.832, 0.824, 0.8, 0.84, 0.808, 0.816, 0.84, 0.832, 0.84, 0.824, 0.816, 0.824, 0.824, 0.824, 0.84, 0.824, 0.824, 0.824, 0.816, 0.816, 0.824, 0.824, 0.832, 0.824, 0.824, 0.824, 0.824, 0.832, 0.84, 0.824, 0.824, 0.84, 0.824, 0.84, 0.832, 0.832, 0.84, 0.824, 0.84, 0.856, 0.832, 0.824, 0.832, 0.824]","[0.2631578947368421, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.7894736842105263, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579]","[0.7138798534870148, 0.6693243831396103, 0.6333183795213699, 0.606765627861023, 0.6007123291492462, 0.5972335189580917, 0.5950016900897026, 0.5893136635422707, 0.5905055850744247, 0.5885003954172134, 0.5862818658351898, 0.5836662650108337, 0.5815446674823761, 0.5732244849205017, 0.5652609020471573, 0.5596238002181053, 0.5504822209477425, 0.5393429473042488, 0.528876043856144, 0.5181877911090851, 0.5135193169116974, 0.5081915780901909, 0.49980922788381577, 0.4955061450600624, 0.48577090352773666, 0.48376692086458206, 0.47902100533246994, 0.47908851504325867, 0.4724729359149933, 0.4742836356163025, 0.4705190658569336, 0.47485533356666565, 0.4737207219004631, 0.4775491803884506, 0.473209448158741, 0.47242364287376404, 0.4738442823290825, 0.464189738035202, 0.4635235220193863, 0.4644198939204216, 0.46010589599609375, 0.45895466208457947, 0.4589359015226364, 0.45488307625055313, 0.4589771628379822, 0.4557386785745621, 0.45770424604415894, 0.45472919195890427, 0.45586296916007996, 0.4497360736131668, 0.45038890838623047, 0.45067431032657623, 0.4494722783565521, 0.44641200453042984, 0.45076363533735275, 0.4498405382037163, 0.44841863214969635, 0.447563111782074, 0.447350837290287, 0.4489741325378418, 0.44413142651319504, 0.4423544481396675, 0.4443511441349983, 0.4406348392367363, 0.4350242614746094, 0.4312084838747978, 0.4353545010089874, 0.4321038946509361, 0.43531087040901184, 0.4378531724214554, 0.43407074362039566, 0.4293872267007828, 0.4317627400159836, 0.4330487325787544, 0.42945074290037155, 0.43110938370227814, 0.434283010661602, 0.4249912425875664, 0.42762721329927444, 0.4238470122218132, 0.42492785304784775, 0.42277105897665024, 0.42202623188495636, 0.42578811943531036, 0.42056626826524734, 0.420526959002018, 0.4178120344877243, 0.4210031032562256, 0.4174525775015354, 0.41879453510046005, 0.4171629101037979, 0.41317445784807205, 0.4238220900297165, 0.41436485201120377, 0.4151546359062195, 0.41827286779880524, 0.4142858535051346, 0.4135219678282738, 0.4110548570752144, 0.41207072883844376, 0.4132244512438774, 0.41395092010498047, 0.41130900382995605, 0.40833475440740585, 0.407138928771019, 0.40712225437164307, 0.40911048650741577, 0.40985123068094254, 0.40283510088920593, 0.4070380628108978, 0.4014021307229996, 0.39691924676299095, 0.40594810992479324, 0.4011066034436226, 0.4095644876360893, 0.4004979133605957, 0.40668976306915283, 0.4016134440898895, 0.4033484533429146, 0.4086305946111679, 0.4049735963344574, 0.4044683501124382, 0.4021316319704056, 0.399561382830143, 0.4018939360976219]","[0.710819810628891, 0.6562568247318268, 0.6320582032203674, 0.6015337109565735, 0.6893740296363831, 0.7037990093231201, 0.5837139189243317, 0.5772269666194916, 0.47980156540870667, 0.5758114457130432, 0.578164279460907, 0.5650555491447449, 0.4796469807624817, 0.642742708325386, 0.45425549149513245, 0.5203863382339478, 0.42783379554748535, 0.42052313685417175, 0.4614786058664322, 0.5024864673614502, 0.5028402954339981, 0.550043135881424, 0.44970957934856415, 0.38932183384895325, 0.4841805398464203, 0.4428431987762451, 0.35984931141138077, 0.3359716460108757, 0.48525460064411163, 0.47721822559833527, 0.5114403516054153, 0.4814020246267319, 0.4802284985780716, 0.3726646527647972, 0.369476780295372, 0.3395548090338707, 0.3627501279115677, 0.4780369848012924, 0.4522785097360611, 0.44059623777866364, 0.46736790239810944, 0.5509578436613083, 0.4239279627799988, 0.3458184525370598, 0.48634518682956696, 0.4615275263786316, 0.43499505519866943, 0.43120327591896057, 0.3264238089323044, 0.3227304294705391, 0.5442498326301575, 0.3380594030022621, 0.3396880105137825, 0.38166600465774536, 0.4041963219642639, 0.5184894800186157, 0.32934876531362534, 0.46636465191841125, 0.3355763331055641, 0.3411427512764931, 0.4981705993413925, 0.44339434802532196, 0.5522676259279251, 0.3037515953183174, 0.2986247092485428, 0.3395882397890091, 0.4550914168357849, 0.5091512352228165, 0.3989075720310211, 0.41091662645339966, 0.3168913647532463, 0.42723415791988373, 0.404122993350029, 0.32924240827560425, 0.5134387165307999, 0.32092226296663284, 0.438876673579216, 0.4108913838863373, 0.4002772271633148, 0.3009491637349129, 0.5809451341629028, 0.44549793004989624, 0.40543970465660095, 0.4611002653837204, 0.43536873161792755, 0.37465207278728485, 0.4628842771053314, 0.35203057527542114, 0.4552503824234009, 0.3112843707203865, 0.30676838755607605, 0.4192586839199066, 0.3187469094991684, 0.3962760269641876, 0.31262288987636566, 0.39676085114479065, 0.315877802670002, 0.44498859345912933, 0.3166165351867676, 0.43609438836574554, 0.2955184578895569, 0.5846411883831024, 0.30711060017347336, 0.4488108158111572, 0.30343111604452133, 0.33882132172584534, 0.46344371140003204, 0.30612555891275406, 0.313102126121521, 0.40493743121623993, 0.2996910586953163, 0.41479073464870453, 0.5921037346124649, 0.3073771893978119, 0.45584265887737274, 0.29837987571954727, 0.37389983236789703, 0.41327227652072906, 0.5383174121379852, 0.40128347277641296, 0.35238777101039886, 0.32365722954273224, 0.44214165210723877, 0.4531560093164444, 0.31281179934740067]"
ChebNet,5,1,2,add,125,32,24,0.003,0.005,0,0,0.79328,0.0022091776000000003,0.848,89,0.704,101,0.8105263157894735,0.0035013850415512473,0.8947368421052632,67,0.7368421052631579,9,0.4150001589357853,0.35341486473381517,"[0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.704, 0.744, 0.752, 0.752, 0.752, 0.808, 0.776, 0.816, 0.792, 0.792, 0.8, 0.808, 0.808, 0.8, 0.816, 0.808, 0.84, 0.816, 0.784, 0.8, 0.816, 0.816, 0.8, 0.8, 0.8, 0.8, 0.808, 0.816, 0.8, 0.8, 0.816, 0.8, 0.8, 0.8, 0.8, 0.808, 0.808, 0.808, 0.8, 0.8, 0.816, 0.8, 0.816, 0.808, 0.816, 0.816, 0.808, 0.84, 0.808, 0.808, 0.824, 0.816, 0.832, 0.816, 0.808, 0.816, 0.84, 0.816, 0.816, 0.832, 0.808, 0.816, 0.84, 0.816, 0.832, 0.824, 0.848, 0.816, 0.816, 0.816, 0.816, 0.832, 0.808, 0.808, 0.848, 0.816, 0.848, 0.816, 0.816, 0.848, 0.816, 0.832, 0.84, 0.816, 0.832, 0.832, 0.832, 0.832, 0.84, 0.832, 0.824, 0.848, 0.824, 0.832, 0.832, 0.832, 0.832, 0.832, 0.824, 0.816, 0.832, 0.832]","[0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7368421052631579, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.8421052631578947, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8421052631578947, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.7894736842105263, 0.8947368421052632, 0.7368421052631579, 0.8947368421052632, 0.8421052631578947, 0.7894736842105263, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947, 0.7368421052631579, 0.8947368421052632, 0.8421052631578947, 0.7368421052631579, 0.8421052631578947, 0.7368421052631579, 0.7894736842105263, 0.8947368421052632, 0.8421052631578947, 0.8947368421052632, 0.8421052631578947, 0.8947368421052632, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947, 0.8947368421052632, 0.8421052631578947, 0.8947368421052632, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632, 0.7368421052631579, 0.8421052631578947, 0.8947368421052632, 0.7368421052631579, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632, 0.8421052631578947, 0.8947368421052632, 0.7368421052631579, 0.8947368421052632, 0.7894736842105263, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632, 0.8947368421052632]","[0.5956663936376572, 0.5635390877723694, 0.5611333176493645, 0.5613552927970886, 0.5556132048368454, 0.5482745915651321, 0.5487669408321381, 0.5426246970891953, 0.5385333895683289, 0.5347277745604515, 0.5340332761406898, 0.5326520279049873, 0.5269918143749237, 0.525232344865799, 0.515664778649807, 0.5098957940936089, 0.49958691000938416, 0.4958641082048416, 0.4920346662402153, 0.48730456829071045, 0.4841097444295883, 0.482916459441185, 0.47508131712675095, 0.4661327600479126, 0.46114303171634674, 0.45766816288232803, 0.4566677361726761, 0.4535180479288101, 0.44898485392332077, 0.44671371579170227, 0.4377462640404701, 0.445153184235096, 0.4468808136880398, 0.4532086253166199, 0.4392182007431984, 0.4380563274025917, 0.4304516986012459, 0.42686428874731064, 0.43624376505613327, 0.449297770857811, 0.4308742806315422, 0.435735285282135, 0.4492548108100891, 0.4238787144422531, 0.42067524045705795, 0.41697316616773605, 0.4165326952934265, 0.4183102548122406, 0.4119735211133957, 0.41043300926685333, 0.415513813495636, 0.4076838046312332, 0.40855032205581665, 0.4065750688314438, 0.4041014611721039, 0.4048098102211952, 0.3977837860584259, 0.39887574315071106, 0.3999670520424843, 0.39382530003786087, 0.39378226548433304, 0.38985492289066315, 0.39554230868816376, 0.39371439814567566, 0.3854416385293007, 0.3896743208169937, 0.38606537878513336, 0.3880673795938492, 0.396512508392334, 0.3843713030219078, 0.3896785154938698, 0.39393699169158936, 0.38187263160943985, 0.38103121519088745, 0.3946499899029732, 0.3861004486680031, 0.37530139833688736, 0.3790309503674507, 0.3748858794569969, 0.3749663606286049, 0.3714440241456032, 0.39859382808208466, 0.3970397114753723, 0.3769103027880192, 0.3825017623603344, 0.383870467543602, 0.374581977725029, 0.3996681720018387, 0.377186082303524, 0.3864792510867119, 0.3729206770658493, 0.3720370717346668, 0.36721040308475494, 0.3647683262825012, 0.36559779942035675, 0.3645820803940296, 0.37700769305229187, 0.36843710392713547, 0.36329835653305054, 0.37044771015644073, 0.3595484122633934, 0.35634414106607437, 0.35621244460344315, 0.36147598177194595, 0.35288794338703156, 0.3482307568192482, 0.3533378280699253, 0.3468688614666462, 0.3511611893773079, 0.34430350735783577, 0.34403789043426514, 0.3454747870564461, 0.340792752802372, 0.34384041652083397, 0.3415936976671219, 0.34473616629838943, 0.33777686953544617, 0.34415068477392197, 0.3410968445241451, 0.34089823067188263, 0.33960387110710144, 0.3336610645055771, 0.33549224957823753, 0.33208589255809784, 0.33246488869190216]","[0.3273506127297878, 0.5492625534534454, 0.5488013327121735, 0.6792249232530594, 0.550345242023468, 0.5459020733833313, 0.3918347433209419, 0.5313962548971176, 0.37216252088546753, 0.4953896850347519, 0.5254275649785995, 0.37452512979507446, 0.5046215355396271, 0.4903203696012497, 0.3622083142399788, 0.4646643400192261, 0.4406561702489853, 0.48690395057201385, 0.3243376985192299, 0.4199690967798233, 0.27641699090600014, 0.4013703912496567, 0.3108924403786659, 0.3812815696001053, 0.3582623153924942, 0.4030862897634506, 0.3916753977537155, 0.46793796122074127, 0.3549979478120804, 0.3322673887014389, 0.3600175380706787, 0.2581280320882797, 0.3551071435213089, 0.4877106696367264, 0.27699263393878937, 0.4377823919057846, 0.4294235110282898, 0.3470490872859955, 0.35525310039520264, 0.5024541765451431, 0.3012102320790291, 0.3578467518091202, 0.48383480310440063, 0.3782929927110672, 0.32193252444267273, 0.3666060119867325, 0.4241577684879303, 0.3248651325702667, 0.4275349974632263, 0.3474726378917694, 0.36313624680042267, 0.38175350427627563, 0.29925965517759323, 0.3772149085998535, 0.4569665342569351, 0.21652357652783394, 0.41695597767829895, 0.31489066779613495, 0.433403879404068, 0.37075722217559814, 0.2660030946135521, 0.4686233848333359, 0.43939855694770813, 0.2698299512267113, 0.3602742701768875, 0.32048454880714417, 0.2629654034972191, 0.2957540825009346, 0.2292993664741516, 0.3216886818408966, 0.2592317909002304, 0.2641907408833504, 0.3698890954256058, 0.31774619221687317, 0.44557977467775345, 0.3394480049610138, 0.40683144330978394, 0.19653474539518356, 0.3845479339361191, 0.38887646794319153, 0.22522111237049103, 0.37476058304309845, 0.3675627112388611, 0.2435934916138649, 0.24020126461982727, 0.3414013087749481, 0.3092063218355179, 0.31930340826511383, 0.25582820922136307, 0.40968018770217896, 0.29348884522914886, 0.37106455862522125, 0.2728578671813011, 0.3133719563484192, 0.305416002869606, 0.2693581059575081, 0.25677644461393356, 0.26739853620529175, 0.3509157598018646, 0.3316829204559326, 0.22220054641366005, 0.3934585750102997, 0.30751822888851166, 0.2093520611524582, 0.27344217151403427, 0.3446471840143204, 0.24806590378284454, 0.3299792855978012, 0.23016269505023956, 0.20141171105206013, 0.326003760099411, 0.2778768911957741, 0.3383112847805023, 0.27851155400276184, 0.20805466547608376, 0.2999285012483597, 0.31302012503147125, 0.20292950049042702, 0.24121584743261337, 0.4137860983610153, 0.2363373041152954, 0.339070126414299, 0.27967630326747894, 0.30527667701244354, 0.392306849360466]"
